(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 61)
(0, 3)
(0, 3)
(0, -1)
(0, -3)
(1, -1)
(1, 1)
(3, 1)
(0, 1)
(3, -1)
(0, 0)
(17, 66)
(0, -3)
(0, -3)
(0, 1)
(0, 2)
(7, -1)
(0, -1)
(3, 1)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 61)
(0, -4)
(0, 2)
(1, 3)
(0, -3)
(0, -1)
(0, 2)
(1, -1)
(1, -1)
(1, 1)
(0, 0)
(17, 66)
(0, 3)
(0, -2)
(1, -3)
(0, 2)
(0, 1)
(0, -2)
(3, 1)
(1, -1)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 25)
(0, 0)
(17, 25)
(0, 0)
(17, 26)
(0, -1)
(0, -1)
(1, 1)
(0, 0)
(17, 27)
(1, -2)
(0, -1)
(5, 1)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 27)
(1, -2)
(0, -1)
(5, 1)
(0, 0)
(17, 27)
(1, -2)
(0, -1)
(5, 1)
(0, 0)
(17, 27)
(1, -2)
(0, -1)
(5, 1)
(0, 0)
(17, 27)
(1, -2)
(0, -1)
(5, 1)
(0, 0)
(17, 63)
(0, 0)
(17, 64)
(0, 0)
(17, 27)
(1, -2)
(0, -1)
